---------------------------------
A4 (Final Project): Virtual Memory Manager - DEMO
By: Brendan Sting, Soren Zaiser
Date of Submission: 9/13/2023
---------------------------------

This demo.txt shows the output of running main.c using the provided PROCESS.txt and addresses.txt found on Blackboard

--------------------------------- Results ---------------------------------
Logical Address   Physical Address  Data
275               3                 r
152               24                w
380               44                b
428               60                v
276               4                 r
97                65                n
426               58                v
2                 82                r
243               99                r
407               119               d
442               26                q
413               125               c
38                38                u
286               14                x
102               70                g
75                59                t
210               82                o
113               97                i
387               19                g
429               125               w
405               37                r
431               127               y
471               7                 e
66                50                e
49                65                j
134               86                c
179               99                p
85                21                l
353               33                b
171               123               t
212               4                 d
273               49                f
391               71                k
312               88                x
499               99                n
301               29                x
488               40                u
504               104               e
92                124               b
325               5                 s
443               59                n
225               65                e
139               91                q
348               28                z
155               43                n
92                124               b
262               102               e
492               12                x
126               62                o
174               78                k
433               81                j
472               24                v
276               36                r
366               126               d
475               27                d
171               75                t
16                96                c
94                14                r
38                54                u
12                92                y
270               46                q
205               125               h
179               19                p
113               65                i
475               107               d
153               9                 r
220               60                g
119               71                w
414               94                x
301               45                x
71                119               p
229               21                p
145               1                 z
331               107               d
427               59                k
302               46                q
424               56                x
65                113               f
437               69                f
484               84                q
116               20                j
155               11                n
16                96                c
194               34                s
407               55                d
116               20                j
139               123               q
330               74                k
470               86                b
245               5                 r
42                106               j
94                46                r
145               49                z
144               48                f
356               20                v
423               119               b
394               74                v
93                45                e
174               94                k
242               2                 i
212               100               d
57                57                i
35                19                o
350               126               z
161               81                m
243               3                 r
286               78                x
62                62                x
120               40                y
418               98                h
397               29                w
171               91                t
222               126               q
386               18                j
31                15                z
431               111               y
292               68                r
222               126               q
89                57                i
359               39                g
26                10                k
316               92                d
488               24                u
129               97                a
291               67                s
166               118               f
279               55                f
223               47                a
385               1                 v
78                94                v
14                30                w
503               103               b
310               70                p
476               124               p
497               97                l
462               62                v
191               47                v
261               5                 p
210               82                o
109               29                o
216               88                v
482               66                q
390               118               s
20                100               c
170               58                w
476               44                p
453               5                 y
276               20                r
447               95                o
450               2                 p
364               76                j
203               123               y
429               109               w
126               62                o
340               36                g
495               31                l
288               80                g
486               22                n
56                8                 e
254               78                q
307               115               f
324               100               p
289               81                x
333               109               r
383               63                h
17                33                n
44                28                a
404               4                 z
336               64                w
36                20                u
414               14                x
384               112               f
411               11                a
332               108               m
416               80                s
354               50                h
199               39                r
472               72                v
383               31                h
393               121               p
135               7                 q
164               100               y
77                93                u
183               55                x
104               40                b
372               20                z
398               126               k
363               75                d
91                11                i
356               68                v
80                0                 w
260               100               l
335               95                b
452               52                m
139               43                q
481               17                i
337               113               k
487               23                o
136               40                j
464               64                u
256               96                t
403               3                 h
179               83                p
18                50                y
330               122               k
402               2                 j
416               16                s
282               42                m
392               72                i
272               32                a
466               98                p
25                57                c
123               91                i
370               114               f
458               10                i
236               28                m
235               27                h
187               75                y
436               36                a
128               96                u
238               30                t
219               59                h
126               94                o
25                121               c
463               15                a
412               76                d
218               58                x
495               47                l
80                96                w
337               17                k
429               93                w
372               116               z
55                7                 j
263               71                r
90                106               z
477               61                a
302               46                q
236               28                m
183               87                x
475               59                d
31                127               z
264               72                d
358               6                 t
339               99                z
296               40                l
108               28                y
259               67                i
291               35                s
440               88                o
332               60                m
73                121               c
304               0                 a
298               42                n
195               99                g
99                19                n
174               78                k
308               4                 c
457               89                n
438               54                e
276               116               r
326               38                j
359               103               g
185               25                o
231               71                t
134               6                 c
184               24                d
157               93                f
276               116               r
496               48                o
447               47                o
358               102               t
249               73                g
152               88                w
263               7                 r
470               22                b
225               113               e
89                57                i
468               20                w
416               32                s
309               101               w
446               78                r
374               86                c
280               8                 b
315               107               o
173               125               x
221               61                m
154               26                q
389               37                y
36                68                u
317               109               n
236               92                m
412               12                d
152               24                w
199               119               r
298               58                n
238               94                t
378               42                x
177               65                z
30                110               d
371               35                x

Page fault list (in order):
17, 9, 23, 26, 6, 0, 15, 25, 27, 2, 4, 13, 7, 24, 26, 25, 29, 3, 8, 11, 5, 22, 10, 13, 17, 24, 19, 31, 18, 30, 5, 20, 27, 14, 8, 21, 9, 16, 30, 7, 10, 27, 29, 17, 22, 1, 5, 2, 0, 16, 12, 11, 7, 29, 9, 13, 25, 18, 4, 14, 20, 26, 27, 30, 7, 1, 12, 25, 8, 20, 29, 15, 2, 5, 9, 22, 26, 24, 10, 13, 3, 2, 21, 17, 7, 26, 24, 13, 1, 18, 5, 22, 19, 30, 8, 10, 17, 13, 24, 4, 0, 31, 19, 29, 28, 11, 16, 13, 6, 30, 24, 1, 10, 29, 28, 17, 27, 22, 12, 26, 7, 21, 30, 18, 3, 15, 19, 20, 23, 1, 2, 25, 21, 24, 26, 22, 12, 29, 23, 8, 10, 4, 11, 6, 22, 5, 16, 20, 28, 8, 30, 21, 29, 25, 11, 1, 20, 26, 17, 24, 29, 7, 23, 28, 14, 11, 27, 8, 13, 1, 25, 30, 5, 21, 26, 23, 3, 16, 29, 18, 14, 11, 1, 22, 21, 6, 27, 20, 4, 19, 12, 10, 28, 27, 17, 20, 22, 11, 14, 8, 9, 31, 27, 15, 16, 29, 14, 5, 26, 19, 27, 23, 17, 10, 13, 9, 24, 2, 14, 25, 12, 18, 23, 11, 1

Number of addresses: 300
Number of page faults: 225

Page-fault rate: 75.00%
